gDBWS - Graphic data export Powder v3.beta  -  21/12/00 10:40:00 AM
2 theta,   I obs,    I calc,  I obs - I calc 
 29.46    217.0      209.0      8.0    
 29.48    206.0      207.0      -1.0   
 29.5     220.0      206.0      14.0   
 29.52    217.0      204.0      13.0   
 29.54    188.0      203.0      -15.0  
 29.56    200.0      202.0      -2.0   
 29.58    213.0      201.0      12.0   
 29.6     212.0      200.0      12.0   
 29.62    199.0      199.0      .0     
 29.64    212.0      198.0      14.0   
 29.66    206.0      191.0      15.0   
 29.68    209.0      191.0      18.0   
 29.7     190.0      190.0      .0     
 29.72    189.0      190.0      -1.0   
 29.74    194.0      187.0      7.0    
 29.76    248.0      187.0      61.0   
 29.78    198.0      186.0      12.0   
 29.8     232.0      186.0      46.0   
 29.82    188.0      186.0      2.0    
 29.84    179.0      186.0      -7.0   
 29.86    210.0      186.0      24.0   
 29.88    182.0      186.0      -4.0   
 29.9     191.0      186.0      5.0    
 29.92    204.0      186.0      18.0   
